iter	Passed	Remaining
0	54	8105
1	56	4173
2	60	2943
3	64	2347
4	66	1914
5	67	1631
6	70	1432
7	72	1281
8	74	1167
9	77	1083
10	79	1008
11	81	940
12	84	895
13	88	854
14	90	818
15	94	790
16	96	754
17	98	720
18	103	714
19	106	693
20	108	667
21	111	646
22	114	629
23	116	609
24	120	604
25	122	586
26	124	569
27	128	558
28	130	544
29	132	530
30	135	518
31	137	508
32	139	495
33	141	483
34	143	471
35	145	461
36	148	452
37	150	443
38	152	433
39	154	425
40	156	417
41	160	413
42	162	405
43	164	396
44	167	389
45	168	381
46	171	374
47	173	367
48	175	362
49	178	356
50	181	353
51	183	346
52	187	344
53	190	339
54	192	332
55	194	326
56	197	321
57	201	319
58	203	314
59	206	309
60	210	307
61	214	304
62	219	303
63	222	298
64	226	295
65	228	291
66	232	287
67	238	287
68	241	283
69	244	278
70	245	273
71	249	270
72	253	267
73	256	262
74	264	264
75	267	260
76	271	257
77	273	252
78	275	247
79	278	243
80	281	239
81	283	235
82	286	230
83	290	228
84	294	225
85	297	221
86	301	218
87	303	213
88	307	210
89	309	206
90	312	202
91	314	197
92	319	195
93	321	191
94	323	187
95	325	183
96	327	178
97	329	174
98	333	171
99	335	167
100	338	163
101	346	163
102	348	159
103	351	155
104	353	151
105	355	147
106	357	143
107	359	139
108	363	136
109	365	133
110	367	129
111	370	125
112	374	122
113	382	120
114	384	117
115	389	114
116	398	112
117	401	108
118	408	106
119	410	102
120	413	99
121	417	95
122	419	92
123	423	88
124	425	85
125	432	82
126	441	80
127	444	76
128	447	72
129	452	69
130	454	65
131	456	62
132	458	58
133	462	55
134	464	51
135	466	47
136	468	44
137	476	41
138	480	38
139	482	34
140	484	30
141	486	27
142	490	24
143	495	20
144	497	17
145	499	13
146	506	10
147	510	6
148	513	3
149	518	0
